deviceid,appversion,timestamp,power,temperature
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:17," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:22," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:27," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:33," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:38," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:43," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:48," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:53," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:58," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:03," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:08," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:13," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:19," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:24," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:29," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:34," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:39," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:44," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:49," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:54," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:16:59," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:17:05," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:17:10," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:17:15," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:17:20," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:17:25," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:17:30," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:17:35," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:17:40," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:17:45," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:17:51," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:17:56," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:18:01," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:18:06," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:18:11," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:18:16," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:18:21," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:18:27," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:18:32," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:18:37," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:18:42," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:18:47," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:18:52," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:18:57," 50
",32.0
